ID,Nombre,Descripción,URL,Categorias,Creado,# Visitas,Temas,Area o Dependencia,Nombre de la Entidad,Departamento,Municipio,Orden,Sector,Idioma,Cobertura Geográfica,Frecuencia de Actualización,Categoría,Descargas,Filas,Columnas
1,Sujetos de Control - CONTRALORIA GENERAL DEL CHOCO,Sujetos de Control - Contraloría Departamental del Chocó,https://www.datos.gov.co/Organismos-de-Control/Sujetos-de-Control-CONTRALORIA-GENERAL-DEL-CHOCO/mfsy-jgr5,Conjunto de Datos,April 10 2019,2,sujetos,Oficina de Control Fiscal,Contraloría General del Departamento del Chocó,Chocó,Quibdó,Territorial,Organismos de control y vigilancia,Español,Departamental,No aplica,Organismos de Control,0,30,6
2,Juntas de Acción Comunal en el Departamento del Departamento del Cesar,Juntas de Acción Comunal en el Departamento del Departamento del Cesar,https://www.datos.gov.co/Participación-ciudadana/Juntas-de-Acción-Comunal-en-el-Departamento-del-De/8ihv-4emt,Conjunto de Datos,April 10 2019,0,cesar/juntas de accion comunal/j,Secretaria de Gobierno Departamental,Gobernación del Cesar,Cesar,Valledupar,Territorial,No Aplica,Español,Departamental,No aplica,Participación ciudadana,0,Sin dato recolectado,Sin dato recolectado
3,MANTENIMIENTO DE VÍAS CON  SLURRY MUNICIPIO DE CHIA 2019,Sin descripción reportada en el sitio,https://www.datos.gov.co/Estadísticas-Nacionales/MANTENIMIENTO-DE-VÍAS-CON-SLURRY-MUNICIPIO-DE-CHIA/3xub-c78e,Conjunto de Datos,April 10 2019,0,,Secretaria de Obras Públicas ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Semestral,Estadísticas Nacionales,0,12,5
4,MANTENIMIENTO DE VÍAS CON ASFALTITA MUNICIPIO DE CHIA 2019,MANTENIMIENTO DE VIA,https://www.datos.gov.co/Estadísticas-Nacionales/MANTENIMIENTO-DE-VÍAS-CON-ASFALTITA-MUNICIPIO-DE-C/9hkz-cxvg,Conjunto de Datos,April 10 2019,0,,Secretaria de Obras Públicas ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Semestral,Estadísticas Nacionales,0,4,5
5,"MANTENIMIENTO DE VÍAS EN RECEBO,MUNICIPIO DE CHIA 2019",VÍAS EN RECEBO,https://www.datos.gov.co/Estadísticas-Nacionales/MANTENIMIENTO-DE-VÍAS-EN-RECEBO-MUNICIPIO-DE-CHIA-/fu6x-6g5i,Conjunto de Datos,April 10 2019,0,,Secretaria de Obras Públicas ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Semestral,Estadísticas Nacionales,0,9,5
6,MANTENIMIENTO DE VÍAS CON MDC-2 MUNICIPIO DE CHIA 2019,MANTENIMIENTO DE VÍAS,https://www.datos.gov.co/Estadísticas-Nacionales/MANTENIMIENTO-DE-VÍAS-CON-MDC-2-MUNICIPIO-DE-CHIA-/v8x9-zfkn,Conjunto de Datos,April 10 2019,0,,Secretaria de Obras Públicas ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Semestral,Estadísticas Nacionales,0,Sin dato recolectado,Sin dato recolectado
7,Salida de Vehículos y Pasajeros 2018,"Salida de vehículos y pasajeros desde la terminal de bogota, totales mensuales por corredor, norte, sur, oriente, occidente y total",https://www.datos.gov.co/dataset/Salida-de-Vehículos-y-Pasajeros-2018/vixq-g3ik,Enlace externo,April 10 2019,0,movilidad,,,,,,,,,,,,,
8,Formulario CGN-2005-002 Bogotá. Diciembre.,"Información relacionada con los Estados Contables de la Secretaría Distrital de Hacienda, los estados contables consolidados de Bogotá D.C., del Sector Público Distrital y del Sector Gobierno General.",https://www.datos.gov.co/dataset/Formulario-CGN-2005-002-Bogotá-Diciembre-/yi2s-waih,Enlace externo,April 10 2019,0,economía y finanzas,,,,,,,,,,,,,
9,Formulario CGN-2005-001 Bogotá. Diciembre 2018,"Información relacionada con los Estados Contables de la Secretaría Distrital de Hacienda, los estados contables consolidados de Bogotá D.C., del Sector Público Distrital y del Sector Gobierno General.",https://www.datos.gov.co/dataset/Formulario-CGN-2005-001-Bogotá-Diciembre-2018/x3br-432v,Enlace externo,April 10 2019,0,economía y finanzas,,,,,,,,,,,,,
10,Contratos Legalizados enero 2019 Bogotá.,Encuentre aquí la información sobre la actividad contractual de la Secretaría Distrital de Hacienda.,https://www.datos.gov.co/dataset/Contratos-Legalizados-enero-2019-Bogotá-/hj53-jc6k,Enlace externo,April 10 2019,0,economía y finanzas,,,,,,,,,,,,,
11,Registro activos de información Software y Servicios,"Registro activos de información Software y Servicios, descripción, tipo, ubicación, propiedad, acceso, valoración y clasificación",https://www.datos.gov.co/dataset/Registro-activos-de-información-Software-y-Servici/34qa-y9bb,Enlace externo,April 10 2019,0,datos abiertos bogota,,,,,,,,,,,,,
12,Modificaciones contractuales enero 2019 Bogotá.,Encuentre aquí la información sobre la actividad contractual de la Secretaría Distrital de Hacienda.,https://www.datos.gov.co/dataset/Modificaciones-contractuales-enero-2019-Bogotá-/39jq-mwtm,Enlace externo,April 10 2019,0,economía y finanzas,,,,,,,,,,,,,
13,Informes de ejecución contractual enero 2019 Bogotá.,Encuentre aquí la información sobre la actividad contractual de la Secretaría Distrital de Hacienda.,https://www.datos.gov.co/dataset/Informes-de-ejecución-contractual-enero-2019-Bogot/csec-9raa,Enlace externo,April 10 2019,0,economía y finanzas,,,,,,,,,,,,,
14,Características del Portafolio de Pasivos Dirección Distrital de Crédito Público Secretaría Distrital De Hacienda.,Subdirección de Financiamiento con otras Entidades,https://www.datos.gov.co/dataset/Características-del-Portafolio-de-Pasivos-Direcció/u38u-pxv9,Enlace externo,April 10 2019,0,economía y finanzas,,,,,,,,,,,,,
